country,population_2020,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,urban_pop_%,world_share
Ukraine,43733762,-0.59,-259876,75,579320,10000.0,1.4,41.0,69.0,0.56
Iraq,40222493,2.32,912710,93,434320,7834.0,3.7,21.0,73.0,0.52
Afghanistan,38928346,2.33,886592,60,652860,-62920.0,4.6,18.0,25.0,0.5
Poland,37846611,-0.11,-41157,124,306230,-29395.0,1.4,42.0,60.0,0.49
Canada,37742154,0.89,331107,4,9093510,242032.0,1.5,41.0,81.0,0.48
Morocco,36910560,1.2,438791,83,446300,-51419.0,2.4,30.0,64.0,0.47
Saudi Arabia,34813871,1.59,545343,16,2149690,134979.0,2.3,32.0,84.0,0.45
Uzbekistan,33469203,1.48,487487,79,425400,-8863.0,2.4,28.0,50.0,0.43
Peru,32971854,1.42,461401,26,1280000,99069.0,2.3,31.0,79.0,0.42
Angola,32866272,3.27,1040977,26,1246700,6413.0,5.6,17.0,67.0,0.42
Malaysia,32365999,1.3,416222,99,328550,50000.0,2.0,30.0,78.0,0.42
Mozambique,31255435,2.93,889399,40,786380,-5000.0,4.9,18.0,38.0,0.4
Ghana,31072940,2.15,655084,137,227540,-10000.0,3.9,22.0,57.0,0.4
Yemen,29825964,2.28,664042,56,527970,-30000.0,3.8,20.0,38.0,0.38
Nepal,29136808,1.85,528098,203,143350,41710.0,1.9,25.0,21.0,0.37
Venezuela,28435940,-0.28,-79889,32,882050,-653249.0,2.3,30.0,59.445945945945944,0.36
Madagascar,27691018,2.68,721711,48,581795,-1500.0,4.1,20.0,39.0,0.36
Cameroon,26545863,2.59,669483,56,472710,-4800.0,4.6,19.0,56.0,0.34
Côte d'Ivoire,26378274,2.57,661730,83,318000,-8000.0,4.7,19.0,51.0,0.34
North Korea,25778816,0.44,112655,214,120410,-5403.0,1.9,35.0,63.0,0.33
Australia,25499884,1.18,296686,3,7682300,158246.0,1.8,38.0,86.0,0.33
Niger,24206644,3.84,895929,19,1266700,4000.0,7.0,15.0,17.0,0.31
Taiwan,23816775,0.18,42899,673,35410,30001.0,1.2,42.0,79.0,0.31
Sri Lanka,21413249,0.42,89516,341,62710,-97986.0,2.2,34.0,18.0,0.27
Burkina Faso,20903273,2.86,581895,76,273600,-25000.0,5.2,18.0,31.0,0.27
Mali,20250833,3.02,592802,17,1220190,-40000.0,5.9,16.0,44.0,0.26
Romania,19237691,-0.66,-126866,84,230170,-73999.0,1.6,43.0,55.0,0.25
Malawi,19129952,2.69,501205,203,94280,-16053.0,4.3,18.0,18.0,0.25
Chile,19116201,0.87,164163,26,743532,111708.0,1.7,35.0,85.0,0.25
Kazakhstan,18776707,1.21,225280,7,2699700,-18000.0,2.8,31.0,58.0,0.24
Zambia,18383955,2.93,522925,25,743390,-8000.0,4.7,18.0,45.0,0.24
Guatemala,17915568,1.9,334096,167,107160,-9215.0,2.9,23.0,52.0,0.23
Ecuador,17643054,1.55,269392,71,248360,36400.0,2.4,28.0,63.0,0.23
Syria,17500658,2.52,430523,95,183630,-427391.0,2.8,26.0,60.0,0.22
Netherlands,17134872,0.22,37742,508,33720,16000.0,1.7,43.0,92.0,0.22
Senegal,16743927,2.75,447563,87,192530,-20000.0,4.7,19.0,49.0,0.21
Cambodia,16718965,1.41,232423,95,176520,-30000.0,2.5,26.0,24.0,0.21
Chad,16425864,3.0,478988,13,1259200,2000.0,5.8,17.0,23.0,0.21
Somalia,15893222,2.92,450317,25,627340,-40000.0,6.1,17.0,47.0,0.2
Zimbabwe,14862924,1.48,217456,38,386850,-116858.0,3.6,19.0,38.0,0.19
Guinea,13132795,2.83,361549,53,245720,-4000.0,4.7,18.0,39.0,0.17
Rwanda,12952218,2.58,325268,525,24670,-9000.0,4.1,20.0,18.0,0.17
Benin,12123200,2.73,322049,108,112760,-2000.0,4.9,19.0,48.0,0.16
Burundi,11890784,3.12,360204,463,25680,2001.0,5.5,17.0,14.0,0.15
Tunisia,11818619,1.06,123900,76,155360,-4000.0,2.2,33.0,70.0,0.15
Bolivia,11673021,1.39,159921,11,1083300,-9504.0,2.8,26.0,69.0,0.15
Belgium,11589623,0.44,50295,383,30280,48000.0,1.7,42.0,98.0,0.15
Haiti,11402528,1.24,139451,414,27560,-35000.0,3.0,24.0,57.0,0.15
Cuba,11326616,-0.06,-6867,106,106440,-14400.0,1.6,42.0,78.0,0.15
South Sudan,11193725,1.19,131612,18,610952,-174200.0,4.7,19.0,25.0,0.14
Dominican Republic,10847910,1.01,108952,225,48320,-30000.0,2.4,28.0,85.0,0.14
Czech Republic (Czechia),10708981,0.18,19772,139,77240,22011.0,1.6,43.0,74.0,0.14
Greece,10423054,-0.48,-50401,81,128900,-16000.0,1.3,46.0,85.0,0.13
Jordan,10203134,1.0,101440,115,88780,10220.0,2.8,24.0,91.0,0.13
Portugal,10196709,-0.29,-29478,111,91590,-6000.0,1.3,46.0,66.0,0.13
Azerbaijan,10139177,0.91,91459,123,82658,1200.0,2.1,32.0,56.0,0.13
Sweden,10099265,0.63,62886,25,410340,40000.0,1.9,41.0,88.0,0.13
Honduras,9904607,1.63,158490,89,111890,-6800.0,2.5,24.0,57.0,0.13
United Arab Emirates,9890402,1.23,119873,118,83600,40000.0,1.4,33.0,86.0,0.13
Hungary,9660351,-0.25,-24328,107,90530,6000.0,1.5,43.0,72.0,0.12
Tajikistan,9537645,2.32,216627,68,139960,-20000.0,3.6,22.0,27.0,0.12
Belarus,9449323,-0.03,-3088,47,202910,8730.0,1.7,40.0,79.0,0.12
Austria,9006398,0.57,51296,109,82409,65000.0,1.5,43.0,57.0,0.12
Papua New Guinea,8947024,1.95,170915,20,452860,-800.0,3.6,22.0,13.0,0.11
Serbia,8737371,-0.4,-34864,100,87460,4000.0,1.5,42.0,56.0,0.11
Israel,8655535,1.6,136158,400,21640,10000.0,3.0,30.0,93.0,0.11
Switzerland,8654622,0.74,63257,219,39516,52000.0,1.5,43.0,74.0,0.11
Togo,8278724,2.43,196358,152,54390,-2000.0,4.4,19.0,43.0,0.11
Sierra Leone,7976983,2.1,163768,111,72180,-4200.0,4.3,19.0,43.0,0.1
Hong Kong,7496981,0.82,60827,7140,1050,29308.0,1.3,45.0,59.445945945945944,0.1
Laos,7275560,1.48,106105,32,230800,-14704.0,2.7,24.0,36.0,0.09
Paraguay,7132538,1.25,87902,18,397300,-16556.0,2.4,26.0,62.0,0.09
Bulgaria,6948445,-0.74,-51674,64,108560,-4800.0,1.6,45.0,76.0,0.09
Libya,6871292,1.38,93840,4,1759540,-1999.0,2.3,29.0,78.0,0.09
Lebanon,6825445,-0.44,-30268,667,10230,-30012.0,2.1,30.0,78.0,0.09
Nicaragua,6624554,1.21,79052,55,120340,-21272.0,2.4,26.0,57.0,0.08
Kyrgyzstan,6524195,1.69,108345,34,191800,-4000.0,3.0,26.0,36.0,0.08
El Salvador,6486205,0.51,32652,313,20720,-40539.0,2.1,28.0,73.0,0.08
Turkmenistan,6031200,1.5,89111,13,469930,-5000.0,2.8,27.0,53.0,0.08
Singapore,5850342,0.79,46005,8358,700,27028.0,1.2,42.0,59.445945945945944,0.08
Denmark,5792202,0.35,20326,137,42430,15200.0,1.8,42.0,88.0,0.07
Finland,5540720,0.15,8564,18,303890,14000.0,1.5,43.0,86.0,0.07
Congo,5518087,2.56,137579,16,341500,-4000.0,4.5,19.0,70.0,0.07
Slovakia,5459642,0.05,2629,114,48088,1485.0,1.5,41.0,54.0,0.07
Norway,5421241,0.79,42384,15,365268,28000.0,1.7,40.0,83.0,0.07
Oman,5106626,2.65,131640,16,309500,87400.0,2.9,31.0,87.0,0.07
State of Palestine,5101414,2.41,119994,847,6020,-10563.0,3.7,21.0,80.0,0.07
Costa Rica,5094118,0.92,46557,100,51060,4200.0,1.8,33.0,80.0,0.07
Liberia,5057681,2.44,120307,53,96320,-5000.0,4.4,19.0,53.0,0.06
Ireland,4937786,1.13,55291,72,68890,23604.0,1.8,38.0,63.0,0.06
Central African Republic,4829767,1.78,84582,8,622980,-40000.0,4.8,18.0,43.0,0.06
New Zealand,4822233,0.82,39170,18,263310,14881.0,1.9,38.0,87.0,0.06
Mauritania,4649658,2.74,123962,5,1030700,5000.0,4.6,20.0,57.0,0.06
Panama,4314767,1.61,68328,58,74340,11200.0,2.5,30.0,68.0,0.06
Kuwait,4270571,1.51,63488,240,17820,39520.0,2.1,37.0,59.445945945945944,0.05
Croatia,4105267,-0.61,-25037,73,55960,-8001.0,1.4,44.0,58.0,0.05
Moldova,4033963,-0.23,-9300,123,32850,-1387.0,1.3,38.0,43.0,0.05
Georgia,3989167,-0.19,-7598,57,69490,-10000.0,2.1,38.0,58.0,0.05
Eritrea,3546421,1.41,49304,35,101000,-39858.0,4.1,19.0,63.0,0.05
Uruguay,3473730,0.35,11996,20,175020,-3000.0,2.0,36.0,96.0,0.04
Bosnia and Herzegovina,3280819,-0.61,-20181,64,51000,-21585.0,1.3,43.0,52.0,0.04
Mongolia,3278290,1.65,53123,2,1553560,-852.0,2.9,28.0,67.0,0.04
Armenia,2963243,0.19,5512,104,28470,-4998.0,1.8,35.0,63.0,0.04
Jamaica,2961167,0.44,12888,273,10830,-11332.0,2.0,31.0,55.0,0.04
Qatar,2881053,1.73,48986,248,11610,40000.0,1.9,32.0,96.0,0.04
Albania,2877797,-0.11,-3120,105,27400,-14000.0,1.6,36.0,63.0,0.04
Puerto Rico,2860853,-2.47,-72555,323,8870,-97986.0,1.2,44.0,59.445945945945944,0.04
Lithuania,2722289,-1.35,-37338,43,62674,-32780.0,1.7,45.0,71.0,0.03
Namibia,2540905,1.86,46375,3,823290,-4806.0,3.4,22.0,55.0,0.03
Gambia,2416668,2.94,68962,239,10120,-3087.0,5.3,18.0,59.0,0.03
Botswana,2351627,2.08,47930,4,566730,3000.0,2.9,24.0,73.0,0.03
Gabon,2225734,2.45,53155,9,257670,3260.0,4.0,23.0,87.0,0.03
Lesotho,2142249,0.8,16981,71,30360,-10047.0,3.2,24.0,31.0,0.03
North Macedonia,2083374,0.0,-85,83,25220,-1000.0,1.5,39.0,59.0,0.03
Slovenia,2078938,0.01,284,103,20140,2000.0,1.6,45.0,55.0,0.03
Guinea-Bissau,1968001,2.45,47079,70,28120,-1399.0,4.5,19.0,45.0,0.03
Latvia,1886198,-1.08,-20545,30,62200,-14837.0,1.7,44.0,69.0,0.02
Bahrain,1701575,3.68,60403,2239,760,47800.0,2.0,32.0,89.0,0.02
Equatorial Guinea,1402985,3.47,46999,50,28050,16000.0,4.6,22.0,73.0,0.02
Trinidad and Tobago,1399488,0.32,4515,273,5130,-800.0,1.7,36.0,52.0,0.02
Estonia,1326535,0.07,887,31,42390,3911.0,1.6,42.0,68.0,0.02
Timor-Leste,1318445,1.96,25326,89,14870,-5385.0,4.1,21.0,33.0,0.02
Mauritius,1271768,0.17,2100,626,2030,0.0,1.4,37.0,41.0,0.02
Cyprus,1207359,0.73,8784,131,9240,5000.0,1.3,37.0,67.0,0.02
Eswatini,1160164,1.05,12034,67,17200,-8353.0,3.0,21.0,30.0,0.01
Djibouti,988000,1.48,14440,43,23180,900.0,2.8,27.0,79.0,0.01
Fiji,896445,0.73,6492,49,18270,-6202.0,2.8,28.0,59.0,0.01
Réunion,895312,0.72,6385,358,2500,-1256.0,2.3,36.0,100.0,0.01
Comoros,869601,2.2,18715,467,1861,-2000.0,4.2,20.0,29.0,0.01
Guyana,786552,0.48,3786,4,196850,-6000.0,2.5,27.0,27.0,0.01
Bhutan,771608,1.12,8516,20,38117,320.0,2.0,28.0,46.0,0.01
Solomon Islands,686884,2.55,17061,25,27990,-1600.0,4.4,20.0,23.0,0.01
Macao,649335,1.39,8890,21645,30,5000.0,1.2,39.0,59.445945945945944,0.01
Montenegro,628066,0.01,79,47,13450,-480.0,1.8,39.0,68.0,0.01
Luxembourg,625978,1.66,10249,242,2590,9741.0,1.5,40.0,88.0,0.01
Western Sahara,597339,2.55,14876,2,266000,5582.0,2.4,28.0,87.0,0.01
Suriname,586632,0.9,5260,4,156000,-1000.0,2.4,29.0,65.0,0.01
Cabo Verde,555987,1.1,6052,138,4030,-1342.0,2.3,28.0,68.0,0.01
Micronesia,548914,1.0,5428,784,700,-2957.0,2.9,27.0,68.0,0.01
Maldives,540544,1.81,9591,1802,300,11370.0,1.9,30.0,35.0,0.01
Malta,441543,0.27,1171,1380,320,900.0,1.5,43.0,93.0,0.01
Brunei,437479,0.97,4194,83,5270,0.0,1.8,32.0,80.0,0.01
Guadeloupe,400124,0.02,68,237,1690,-1440.0,2.2,44.0,59.445945945945944,0.01
Belize,397628,1.86,7275,17,22810,1200.0,2.3,25.0,46.0,0.01
Bahamas,393244,0.97,3762,39,10010,1000.0,1.8,32.0,86.0,0.01
Martinique,375265,-0.08,-289,354,1060,-960.0,1.9,47.0,92.0,0.0
Iceland,341243,0.65,2212,3,100250,380.0,1.8,37.0,94.0,0.0
Vanuatu,307145,2.42,7263,25,12190,120.0,3.8,21.0,24.0,0.0
French Guiana,298682,2.7,7850,4,82200,1200.0,3.4,25.0,87.0,0.0
Barbados,287375,0.12,350,668,430,-79.0,1.6,40.0,31.0,0.0
New Caledonia,285498,0.97,2748,16,18280,502.0,2.0,34.0,72.0,0.0
French Polynesia,280908,0.58,1621,77,3660,-1000.0,2.0,34.0,64.0,0.0
Mayotte,272815,2.5,6665,728,375,0.0,3.7,20.0,46.0,0.0
Sao Tome & Principe,219159,1.91,4103,228,960,-1680.0,4.4,19.0,74.0,0.0
Samoa,198414,0.67,1317,70,2830,-2803.0,3.9,22.0,18.0,0.0
Saint Lucia,183627,0.46,837,301,610,0.0,1.4,34.0,19.0,0.0
Channel Islands,173863,0.93,1604,915,190,1351.0,1.5,43.0,30.0,0.0
Guam,168775,0.89,1481,313,540,-506.0,2.3,31.0,95.0,0.0
Curaçao,164093,0.41,669,370,444,515.0,1.8,42.0,89.0,0.0
Kiribati,119449,1.57,1843,147,810,-800.0,3.6,23.0,57.0,0.0
Grenada,112523,0.46,520,331,340,-200.0,2.1,32.0,35.0,0.0
St. Vincent & Grenadines,110940,0.32,351,284,390,-200.0,1.9,33.0,53.0,0.0
Aruba,106766,0.43,452,593,180,201.0,1.9,41.0,44.0,0.0
Tonga,105695,1.15,1201,147,720,-800.0,3.6,22.0,24.0,0.0
U.S. Virgin Islands,104425,-0.15,-153,298,350,-451.0,2.0,43.0,96.0,0.0
Seychelles,98347,0.62,608,214,460,-200.0,2.5,34.0,56.0,0.0
Antigua and Barbuda,97929,0.84,811,223,440,0.0,2.0,34.0,26.0,0.0
Isle of Man,85033,0.53,449,149,570,-5.442786069651741,2.3025531914893613,30.621890547263682,53.0,0.0
Andorra,77265,0.16,123,164,470,-5.442786069651741,2.3025531914893613,30.621890547263682,88.0,0.0
Dominica,71986,0.25,178,96,750,-5.442786069651741,2.3025531914893613,30.621890547263682,74.0,0.0
Cayman Islands,65722,1.19,774,274,240,-5.442786069651741,2.3025531914893613,30.621890547263682,97.0,0.0
Bermuda,62278,-0.36,-228,1246,50,-5.442786069651741,2.3025531914893613,30.621890547263682,97.0,0.0
Marshall Islands,59190,0.68,399,329,180,-5.442786069651741,2.3025531914893613,30.621890547263682,70.0,0.0
Northern Mariana Islands,57559,0.6,343,125,460,-5.442786069651741,2.3025531914893613,30.621890547263682,88.0,0.0
Greenland,56770,0.17,98,0,410450,-5.442786069651741,2.3025531914893613,30.621890547263682,87.0,0.0
American Samoa,55191,-0.22,-121,276,200,-5.442786069651741,2.3025531914893613,30.621890547263682,88.0,0.0
Saint Kitts & Nevis,53199,0.71,376,205,260,-5.442786069651741,2.3025531914893613,30.621890547263682,33.0,0.0
Faeroe Islands,48863,0.38,185,35,1396,-5.442786069651741,2.3025531914893613,30.621890547263682,43.0,0.0
Sint Maarten,42876,1.15,488,1261,34,-5.442786069651741,2.3025531914893613,30.621890547263682,96.0,0.0
Monaco,39242,0.71,278,26337,1,-5.442786069651741,2.3025531914893613,30.621890547263682,59.445945945945944,0.0
Turks and Caicos,38717,1.38,526,41,950,-5.442786069651741,2.3025531914893613,30.621890547263682,89.0,0.0
Saint Martin,38666,1.75,664,730,53,-5.442786069651741,2.3025531914893613,30.621890547263682,0.0,0.0
Liechtenstein,38128,0.29,109,238,160,-5.442786069651741,2.3025531914893613,30.621890547263682,15.0,0.0
San Marino,33931,0.21,71,566,60,-5.442786069651741,2.3025531914893613,30.621890547263682,97.0,0.0
Gibraltar,33691,-0.03,-10,3369,10,-5.442786069651741,2.3025531914893613,30.621890547263682,59.445945945945944,0.0
British Virgin Islands,30231,0.67,201,202,150,-5.442786069651741,2.3025531914893613,30.621890547263682,52.0,0.0
Caribbean Netherlands,26223,0.94,244,80,328,-5.442786069651741,2.3025531914893613,30.621890547263682,75.0,0.0
Palau,18094,0.48,86,39,460,-5.442786069651741,2.3025531914893613,30.621890547263682,59.445945945945944,0.0
Cook Islands,17564,0.09,16,73,240,-5.442786069651741,2.3025531914893613,30.621890547263682,75.0,0.0
Anguilla,15003,0.9,134,167,90,-5.442786069651741,2.3025531914893613,30.621890547263682,59.445945945945944,0.0
Tuvalu,11792,1.25,146,393,30,-5.442786069651741,2.3025531914893613,30.621890547263682,62.0,0.0
Wallis & Futuna,11239,-1.69,-193,80,140,-5.442786069651741,2.3025531914893613,30.621890547263682,0.0,0.0
Nauru,10824,0.63,68,541,20,-5.442786069651741,2.3025531914893613,30.621890547263682,59.445945945945944,0.0
Saint Barthelemy,9877,0.3,30,470,21,-5.442786069651741,2.3025531914893613,30.621890547263682,0.0,0.0
Saint Helena,6077,0.3,18,16,390,-5.442786069651741,2.3025531914893613,30.621890547263682,27.0,0.0
Saint Pierre & Miquelon,5794,-0.48,-28,25,230,-5.442786069651741,2.3025531914893613,30.621890547263682,100.0,0.0
Montserrat,4992,0.06,3,50,100,-5.442786069651741,2.3025531914893613,30.621890547263682,10.0,0.0
Falkland Islands,3480,3.05,103,0,12170,-5.442786069651741,2.3025531914893613,30.621890547263682,66.0,0.0
Niue,1626,0.68,11,6,260,-5.442786069651741,2.3025531914893613,30.621890547263682,46.0,0.0
Tokelau,1357,1.27,17,136,10,-5.442786069651741,2.3025531914893613,30.621890547263682,0.0,0.0
Holy See,801,0.25,2,2003,0,-5.442786069651741,2.3025531914893613,30.621890547263682,59.445945945945944,0.0
