LGA,Average Nighttime mean,system:index,AREA,state,Latitude,Longitude,PERIMETER,Population
Isu,0.15513558,653,35.316,Imo,5.678051135,7.070452713,25.166,169808.3465
Mbatoli,0.494737345,657,191.677,Imo,5.589524335,7.039378628,64.363,370473.7565
Ngor-Okpala,0.092989089,676,606.508,Imo,5.289260168,7.150182266,110.507,280193.0456
Njaba,0.204243191,648,80.798,Imo,5.700953033,7.026939472,47.548,254749.9835
Nkwerre,0.112916536,647,39.228,Imo,5.735041917,7.120756015,28.651,115168.9138
Nwangele,0.127673201,650,54.933,Imo,5.699012412,7.13679959,34.553,233379.408
Obowo,0.285748634,662,75.792,Imo,5.54926542,7.360098201,35.881,218732.096
Oguta,5.645851799,645,480.132,Imo,5.658026487,6.812349004,100.352,140054.3646
Ohaji-Egbema,1.252819794,659,1151.802,Imo,5.402373934,6.824514409,166.39,331298.7712
Okigwe,0.042563712,628,267.045,Imo,5.810877556,7.32558642,80.064,228653.5553
Orlu,0.195530382,632,129.874,Imo,5.797408273,7.058453284,53.244,397624.0214
Orsu,0.125718848,630,136.963,Imo,5.861484939,6.997592531,49.344,222095.0477
Oru East,0.208681138,642,143.325,Imo,5.705575535,6.960153214,65.903,273397.3517
Oru West,0.214189996,637,92.013,Imo,5.742236019,6.91092584,50.475,244718.2341
Owerri Municipal,3.289780336,671,34.244,Imo,5.478296435,7.034816831,23.8,276963.3949
Owerri North,0.584623202,667,198.882,Imo,5.441537986,7.09805806,73.423,395069.9085
Owerri West,0.505195252,664,304.436,Imo,5.432261558,6.980410316,90.073,358703.3373
Onuimo,0.028767037,635,85.708,Imo,5.773626739,7.241101354,40.663,132330.6565
Auyo,0.105367528,91,500.453,Jigawa,12.31550108,9.996892201,153.313,110535.3455
Babura,0.002277919,50,1043.889,Jigawa,12.58695039,8.837529219,154.618,318938.3139
Biriniwa,0.039891673,43,1587.695,Jigawa,12.78274911,10.03348447,173.679,199557.837
Birnin Kudu,0.067298841,171,1435.966,Jigawa,11.45117822,9.490816626,177.797,501384.8795
Buji,0.044292758,167,546.281,Jigawa,11.56280156,9.732350811,108.467,157120.4794
Dutse,0.223607522,136,1036.537,Jigawa,11.77489077,9.298269655,155.571,463492.9154
Gagarawa,0.015451098,77,724.154,Jigawa,12.46513378,9.527916544,117.703,85268.174
Garki,0.011491448,84,1297.764,Jigawa,12.37192364,9.081677703,197.344,229456.0766
Gumel,0.316810904,68,238.098,Jigawa,12.5946304,9.362072781,61.613,91314.2524
Guri,0.015305184,53,1074.267,Jigawa,12.61600944,10.45367046,137.085,108190.9033
Gwaram,0.011332317,192,2025.904,Jigawa,11.17834221,9.991843589,245.29,427415.6828
Gwiwa,0.113357986,51,562.784,Jigawa,12.73132618,8.252276287,98.635,99626.6547
Hadejia,1.192634072,88,47.431,Jigawa,12.4271236,10.03112204,27.137,104526.0674
Jahun,0.02559372,121,1201.961,Jigawa,12.03398095,9.537859959,167.701,307127.0333
Kafin Hausa,0.013610783,100,1401.166,Jigawa,12.13236422,10.01016008,151.565,314482.8135
Kaugama,0.03947657,54,858.143,Jigawa,12.46961444,9.745257453,189.301,150989.9288
Kazaure,0.122230214,65,367.065,Jigawa,12.62412628,8.521348195,122.167,182651.1398
Kiri Kasama,0.103517109,62,808.531,Jigawa,12.53878906,10.22355906,138.621,171061.1375
Kiyawa,0.049419155,144,1106.815,Jigawa,11.81169948,9.575601187,175.273,290124.1109
Maigatari,0.01708663,758,1098.679,Jigawa,12.69140522,9.533658441,151.647,153527.7741
Malam Madori,0.14078734,69,787.242,Jigawa,12.52628793,9.982115471,140.602,202428.7714
Miga,0.020466011,106,618.096,Jigawa,12.19122587,9.675586637,112.198,157856.0054
Ringim,0.080108531,108,872.272,Jigawa,12.13033438,9.096445949,153.075,272605.9175
Roni,0.008958682,70,237.79,Jigawa,12.56151162,8.316402732,110.887,106491.6266
Sule Tankarkar,0.042741826,760,1488.303,Jigawa,12.62622333,9.170087581,180.385,207110.6545
Taura,0.057987139,99,678.662,Jigawa,12.23304748,9.342632256,138.645,195141.845
Yankwashi,0.087393344,52,448.059,Jigawa,12.73012806,8.494743226,112.758,90451.7534
Birnin Gwari,0.017384537,200,6281.145,Kaduna,10.8573347,6.654622958,434.131,439061.7678
Chikun,0.124498362,224,4879.182,Kaduna,10.36694454,7.240920672,434.993,702917.6707
Giwa,0.014821193,198,1957.978,Kaduna,11.10451776,7.392072752,214.4,377897.4489
Igabi,0.268399037,219,3508.283,Kaduna,10.71688931,7.547071207,349.105,825929.7055
Ikara,-0.000204,190,902.758,Kaduna,11.25264792,8.196087483,204.695,344838.1418
Jaba,0.034061751,284,429.905,Kaduna,9.448955533,8.03468141,98.461,157052.3173
Jema'a,0.010746586,290,1712.243,Kaduna,9.33521727,8.248236945,217.579,258235.1183
Kachia,0.000544,255,4624.107,Kaduna,9.818531789,7.648666673,362.304,338468.7953
Kaduna North,6.531496567,235,87.798,Kaduna,10.56083239,7.455289515,53.048,312885.45
Kaduna South,7.77297752,240,60.113,Kaduna,10.47372385,7.422602543,38.603,305109.466
Kagarko,0.048653405,763,2235.093,Kaduna,9.437805796,7.616832014,249.469,306589.9636
Kajuru,-0.003316936,242,2234.228,Kaduna,10.2523021,7.885087489,201.982,183670.5509
Kaura,0.05544266,278,508.776,Kaduna,9.593169817,8.457096992,104.383,166793.101
Kauru,-0.009680654,231,2739.35,Kaduna,10.26329012,8.286802621,317.624,336285.4222
Kubau,-0.002991397,211,2428.078,Kaduna,10.84709665,8.343238003,248.365,520846.5868
Kudan,0.045997412,199,395.747,Kaduna,11.25202374,7.782917413,92.978,162827.5088
Lere,-0.00202759,232,2325.557,Kaduna,10.32653332,8.555375355,233.654,555958.757
Makarfi,0.023619613,194,518.896,Kaduna,11.30040706,7.971482223,95.01,321632.0574
Sabon Gari,0.907658277,206,244.708,Kaduna,11.15950119,7.688105219,70.784,320434.7833
Sanga,0.009227136,295,1323.478,Kaduna,9.213472919,8.481690889,203.467,214063.2505
Soba,-0.002076367,209,2159.857,Kaduna,10.93982174,7.985741605,192.611,542500.2958
Zangon Kataf,0.017815229,258,2633.826,Kaduna,9.822633253,8.22597972,213.156,360622.884
Zaria,0.507565908,213,303.404,Kaduna,11.023143,7.714277512,82.388,565567.7308
Ajingi,0.003929493,130,693.982,Kano,11.94796489,9.029501195,128.946,239619.6164
Albasu,0.009702905,170,460.539,Kano,11.62254543,9.091499579,117.04,213533.3643
Bagwai,0.014942649,120,383.842,Kano,12.08016926,8.118563776,85.513,211456.3729
Bebeji,0.118318925,169,758.962,Kano,11.49166084,8.284119602,113.861,248847.2285
Bichi,0.022093655,101,610.056,Kano,12.24283022,8.245625112,127.066,445252.321
Bunkure,0.057344632,164,470.368,Kano,11.66315062,8.567959462,118.722,242175.3577
Dala,6.349254606,134,24.943,Kano,11.99837759,8.462518711,24.213,483957.1804
Dambatta,0.015897551,80,800.022,Kano,12.39952488,8.619752326,135.711,367982.7104
Dawakin Kudu,0.212572162,151,351.8,Kano,11.79647742,8.64593769,101.37,382454.3916
Dawakin Tofa,0.125491925,116,449.088,Kano,12.12117243,8.368692298,115.287,424208.6994
Doguwa,0.004804571,207,1445.992,Kano,10.83418793,8.646021817,200.421,193906.3383
Fagge,20.16933113,137,27.66,Kano,11.98513403,8.553782299,20.167,291916.8191
Gabasawa,0.023478853,109,660.079,Kano,12.15378945,8.835443657,116.994,262875.5934
Garko,-0.003368476,172,458.608,Kano,11.55063808,8.808933781,127.175,219544.2736
Garun Malam,0.127468583,166,240.516,Kano,11.64693873,8.373045626,69.719,150436.4323
Gaya,0.003059412,154,619.544,Kano,11.77295068,9.016087206,119.561,265273.4781
Gezawa,0.959274472,125,364.907,Kano,12.03363736,8.703944396,89.021,399867.5522
Gwale,13.30747521,139,23.81,Kano,11.96826402,8.468683485,23.055,825782.9281
Gwarzo,0.041022885,141,363.268,Kano,11.8834986,7.941833468,91.415,327713.614
Kabo,0.048184287,146,314.364,Kano,11.8667322,8.172368881,94.478,142131.3494
Kano Municipal,6.915155973,145,26.499,Kano,11.94045083,8.477484735,22.044,353763.9821
Karaye,0.065967039,155,450.051,Kano,11.75039562,7.992822961,104.486,225782.4229
Kibiya,-0.006459693,178,373.929,Kano,11.4879074,8.64464937,85.52,146385.8359
Kiru,0.061113066,161,831.066,Kano,11.58852282,8.126619612,178.992,312943.83
Kumbotso,1.911886744,147,162.81,Kano,11.90499976,8.497289107,63.807,997846.4213
Kunchi,0.005036805,83,706.672,Kano,12.40769156,8.253341051,113.824,211940.9125
Kura,0.168221299,158,240.989,Kano,11.77075117,8.470033232,78.902,186962.5926
Madobi,0.180882475,150,267.91,Kano,11.80999359,8.35477438,89.933,192410.5215
Makoda,0.017624796,81,403.585,Kano,12.40859583,8.46151557,122.794,206787.3492
Minjibir,0.124624434,107,415.334,Kano,12.17366119,8.597659497,89.745,351215.8834
Nassarawa,17.91251811,133,19.019,Kano,12.00588309,8.508378021,21.054,641461.4104
Rano,0.025300614,179,472.851,Kano,11.46649745,8.498752304,108.665,184905.243
Rimin Gado,0.070413168,138,210.163,Kano,11.92564573,8.2584499,78.295,101291.9619
Rogo,0.0000653,177,814.539,Kano,11.50510088,7.84791856,114.528,301983.413
Shanono,0.015074542,110,626.404,Kano,12.06729684,7.940861297,126.97,157862.9711
Sumaila,-0.011383717,184,1190.879,Kano,11.31154184,8.870888222,157.924,371164.5493
Takai,0.017228475,180,786.059,Kano,11.46715012,9.143514153,137.931,275061.9215
Tarauni,11.51342767,140,23.628,Kano,11.95497908,8.528279622,25.141,295562.1899
Tofa,0.189094947,128,203.698,Kano,11.99572703,8.310674703,66.71,123758.0173
Tsanyawa,0.004250644,94,412.742,Kano,12.25019054,7.99336752,87.777,169730.1318
Tudun Wada,0.011051979,195,1132.51,Kano,11.25111607,8.556984468,226.083,278653.9702
Ungogo,3.717411098,126,187.442,Kano,12.04681019,8.504618378,76.109,888851.0263
Warawa,0.399647855,143,345.302,Kano,11.89882564,8.728475188,86.974,194546.6469
Wudil,0.03147369,152,335.617,Kano,11.74145421,8.838378481,105.949,214437.4466
Bakori,0.065894657,162,669.028,Katsina,11.60713461,7.434801111,136.59,343485.3825
Batagarawa,0.197064379,36,442.871,Katsina,12.88516262,7.566188666,156.647,282857.8007
Batsari,0.003616707,39,1072.743,Katsina,12.77216625,7.244708626,163.425,295853.2455
Baure,-0.000779,47,735.83,Katsina,12.78769183,8.755763971,123.193,282913.3943
Bindawa,0.017816314,55,393.549,Katsina,12.7089658,7.85298859,110.336,270062.0589
Charanchi,0.018098035,63,464.027,Katsina,12.59488242,7.673961032,108.887,217790.0756
Dandume,0.055823364,186,428.777,Katsina,11.38757556,7.201173148,94.646,195180.2562
Danja,0.047447849,189,466.281,Katsina,11.38601676,7.564673086,121.701,193836.3891
Danmusa,-0.003613663,104,794.96,Katsina,12.20703584,7.334250498,124.908,208161.8005
Daura,0.093119864,30,314.929,Katsina,12.98523917,8.242109483,74.735,128285.2161
Dutsi,0.019073758,38,288.665,Katsina,12.90263359,8.136302841,83.753,107271.9371
Dutsinma,0.050037596,78,546.871,Katsina,12.42948478,7.519051515,119.138,306901.7631
Faskari,0.02589991,153,1701.466,Katsina,11.65618052,7.099663724,198.124,284888.0698
Funtua,0.293841279,183,482.248,Katsina,11.44281905,7.305979028,113.663,390558.0188
Ingawa,0.012488506,58,765.692,Katsina,12.60708302,8.068530894,159.374,208269.0558
Jibia,0.015283572,20,1099.06,Katsina,12.9855642,7.296388293,209.112,255795.794
Kafur,0.010714262,156,1031.357,Katsina,11.63658122,7.70052059,158.518,330098.0645
Kaita,0.020997998,11,972.081,Katsina,13.16246705,7.723243228,137.735,252803.7792
Kankara,0.009294814,118,1435.922,Katsina,11.95409475,7.371022176,210.868,353637.3234
Kankia,0.029921676,74,853.836,Katsina,12.43209444,7.790752228,146.346,200213.4404
Katsina,2.606165846,32,145.475,Katsina,13.00103211,7.611729149,46.744,644651.8899
Kurfi,0.011347405,49,558.026,Katsina,12.68434974,7.488803906,132.697,178314.8615
Kusada,0.008040642,82,399.347,Katsina,12.44139852,7.978341385,85.685,115261.2444
Mai'Adua,0.045216173,15,576.688,Katsina,13.14458383,8.207989388,122.765,170186.8688
Malumfashi,0.036815769,142,662.153,Katsina,11.83908055,7.65752298,133.543,380846.0196
Mani,0.021456909,28,775.836,Katsina,12.88463851,7.922192836,159.483,309711.905
Mashi,0.02405384,13,910.661,Katsina,13.12406113,7.983345225,141.039,308926.5094
Matazu,0.001318548,98,517.26,Katsina,12.24530625,7.627552973,93.649,158285.2705
Musawa,0.00265241,112,862.701,Katsina,12.07253995,7.695137791,167.405,178815.7823
Rimi,0.065169558,35,473.409,Katsina,12.82160096,7.694783671,117.871,303304.7314
Sabuwa,0.01968112,193,665.734,Katsina,11.28418074,7.093503468,131.035,146364.4222
Safana,-0.003776581,71,1353.244,Katsina,12.46986042,7.260129069,157.759,233431.1054
Sandamu,0.01459833,41,287.807,Katsina,12.89188358,8.348610372,77.109,103430.8879
Zango,0.007667652,31,648.034,Katsina,12.93936925,8.530927568,112.034,164024.6486
Aleiro,0.180126855,95,366.516,Kebbi,12.24898777,4.478593021,81.196,64228.5316
Arewa Dandi,0.006829548,19,4952.362,Kebbi,12.69408742,4.055095217,374.855,249083.8789
Argungu,0.095235451,57,1207.803,Kebbi,12.63437062,4.441094495,171.732,227949.1784
Augie,0.028542665,24,1519.903,Kebbi,12.87537955,4.640789605,178.015,108214.5644
Bagudu,0.002990419,754,4919.312,Kebbi,11.3169455,3.964112828,327.435,347390.3716
Birnin Kebbi,0.294839581,76,1253.632,Kebbi,12.41304014,4.304825012,172.714,422641.7664
Bunza,0.042321667,115,808.811,Kebbi,12.10347023,3.969043414,111.823,167071.2602
Dandi,0.029360655,127,2210.102,Kebbi,11.79481155,3.837454824,198.234,150372.6405
Wasagu-Danko,-0.006526368,768,3442.304,Kebbi,11.4171193,5.651138235,339.835,337427.9165
Fakai,0.003921262,173,1959.322,Kebbi,11.49284221,4.930894685,214.264,136543.425
Gwandu,0.058178824,72,856.333,Kebbi,12.46654335,4.677673563,160.225,203207.2411
Jega,0.038995213,114,904.481,Kebbi,12.03335407,4.485579777,139.043,194743.1176
Kalgo,0.03630422,89,696.867,Kebbi,12.26319279,4.082632534,128.713,111759.5731
Koko-Besse,0.008911706,174,1309.468,Kebbi,11.43553052,4.439522314,193.856,170600.358
Maiyama,0.024232575,113,1482.546,Kebbi,11.90556644,4.352988708,205.124,196149.6071
Ngaski,-0.003799071,216,2595.889,Kebbi,10.54388828,4.774278414,308.5,129342.3709
Sakaba,-0.01161102,197,1359.464,Kebbi,11.14853626,5.544382965,174.433,132836.212
Shanga,0.001643734,187,1502.343,Kebbi,11.20841565,4.726687552,205.3,183220.0049
Suru,0.015675748,132,1288.358,Kebbi,11.77074914,4.13634038,192.822,190251.4035
Yauri,0.001536622,210,953.027,Kebbi,11.00141418,4.606525387,205.94,101747.1478
Zuru,0.004326844,168,523.199,Kebbi,11.4808801,5.307618809,138.763,227102.4801
Adavi,0.099715636,410,717.632,Kogi,7.641412889,6.433701073,163.042,272742.9786
Ajaokuta,0.124730925,421,1375.68,Kogi,7.494015682,6.589818143,168.086,114023.6088
Ankpa,0.002143709,439,1269.452,Kogi,7.433711677,7.651150523,166.68,260857.9453
Bassa,0.020638672,386,1924.212,Kogi,7.770953126,7.024394532,241.143,105978.6511
Dekina,0.021440356,411,2495.273,Kogi,7.548162861,7.176570267,232.029,398693.1336
Ibaji,-0.000584,508,1382.18,Kogi,6.799308643,6.763027373,165.275,66559.1411
Idah,0.003247121,502,47.846,Kogi,7.06072277,6.713153885,30.648,35322.7548
Igalamela-Odolu,0.004876115,487,1997.448,Kogi,7.057314387,7.018737145,227.234,158820.4843
Ijumu,0.011861267,377,915.216,Kogi,7.848778363,5.956135866,156.888,100911.8984
Kabba-Bunu,0.05564351,356,2701.448,Kogi,8.062777986,6.203364061,282.78,142515.4472
Koton-Karfe,0.015548452,357,1533.698,Kogi,8.123407648,6.859037788,192.229,68992.1184
Lokoja,0.065707029,340,3406.807,Kogi,8.172968519,6.460339465,395.127,248124.0701
Mopa-Muro,0.008767779,363,878.826,Kogi,8.103316065,5.878465265,133.681,40492.2346
Ofu,0.025346601,460,1658.558,Kogi,7.302833482,7.038166309,266.705,161173.9098
Ogori-Magongo,0.086777175,456,74.93,Kogi,7.46150387,6.153370107,40.438,19590.8858
Okehi,0.074464021,408,730.224,Kogi,7.681918127,6.285425308,159.301,49835.537
Okene,0.050021276,451,290.361,Kogi,7.449825111,6.322088225,126.337,191612.6155
Olamaboro,0.007584123,484,1210.098,Kogi,7.183620341,7.558015588,164.898,209983.6833
Omala,0.003251476,384,1753.854,Kogi,7.799618662,7.540982471,176.079,96743.6379
Yagba East,-0.000698,355,1519.535,Kogi,8.164109031,5.761314932,237.886,67100.3064
Yagba West,0.019954824,351,1181.312,Kogi,8.296407812,5.527479568,159.37,56595.771
Asa,0.089187348,342,1570.266,Kwara,8.417440237,4.44609312,197.482,136305.6814
Baruten,0.006406794,257,10357.668,Kwara,9.294789104,3.391994126,542.227,267678.6119
Edu,0.018073851,759,2523.44,Kwara,8.876399537,5.205395566,267.67,125798.2986
Ekiti,0.041407033,372,547.14,Kwara,8.075931169,5.346871191,108.866,32178.961
Ifelodun,0.02226576,323,3476.224,Kwara,8.530528119,5.066798493,405.589,117189.7347
Ilorin East,0.259748834,341,434.493,Kwara,8.582616819,4.784356848,149.429,700643.2818
Ilorin South,0.434312463,352,166.344,Kwara,8.435253145,4.692388286,66.358,62561.5689
Ilorin West,1.735200881,349,98.404,Kwara,8.47156965,4.554961919,52.512,345260.7176
Irepodun,0.138789554,360,744.714,Kwara,8.156105541,4.935743468,158.096,104900.4311
Isin,0.093079366,361,633.065,Kwara,8.253496477,5.054078318,111.345,31856.3086
Kaiama,0.003830902,256,7887.974,Kwara,9.459544871,4.179281633,410.375,196830.9889
Moro,0.033927456,316,3183.797,Kwara,8.828460082,4.576806508,250.215,143596.2226
Offa,0.34917052,370,97.357,Kwara,8.13754072,4.699779287,42.606,126926.4981
Oke Ero,0.068156656,364,418.991,Kwara,8.158304247,5.264552132,124.94,33677.6618
Oyun,0.071203449,362,477.98,Kwara,8.145574973,4.658419725,154.368,88494.5817
Pategi,0.007184223,330,2951.182,Kwara,8.615922923,5.811979376,238.21,77336.6459
Agege,10.06471657,549,16.575,Lagos,6.640746038,3.305409927,18.782,289449.7823
Ajeromi-Ifelodun,10.49726575,574,11.645,Lagos,6.466175056,3.324312762,13.097,314222.5886
Alimosho,5.743507962,543,148.062,Lagos,6.598164184,3.245760198,55.194,2079944.119
Amuwo Odofin,3.306997327,569,190.955,Lagos,6.450737649,3.264784915,67.32,377541.2873
Apapa,18.56885596,765,43.227,Lagos,6.437019209,3.362923608,34.006,271369.4581
Badagry,0.894234906,570,516.531,Lagos,6.446571434,2.910629984,115.339,663729.649
Epe,0.178124013,749,1205.291,Lagos,6.561913665,3.95022511,247.437,202902.058
Eti Osa,10.26324599,764,201.279,Lagos,6.452816939,3.533949934,85.069,493328.1549
Ibeju Lekki,0.61599334,564,488.075,Lagos,6.4672077,3.864350818,157.064,302704.1231
Ifako-Ijaye,8.809837562,542,33.615,Lagos,6.677260018,3.303991521,28.115,297182.406
Ikeja,17.12913933,551,45.744,Lagos,6.619092372,3.335571541,32.736,307583.9476
Ikorodu,3.576643951,546,369.494,Lagos,6.626210641,3.558520355,88.09,1241907.315
Kosofe,8.81912905,554,74.118,Lagos,6.607016502,3.401006934,38.369,489892.8572
Lagos Island,2.785135551,558,238.99,Lagos,6.518635791,3.48232324,94.966,44729.8769
Lagos Mainland,11.659153,567,22.781,Lagos,6.504245784,3.374241828,22.449,269611.8083
Mushin,13.10961275,562,17.387,Lagos,6.551415191,3.342003952,18.422,350625.5487
Ojo,2.044719931,565,196.583,Lagos,6.459484086,3.143994795,68.195,695867.6416
Oshodi-Isolo,9.339666849,560,38.595,Lagos,6.558732161,3.304116408,28.349,557312.4779
Shomolu,11.98190406,561,18.304,Lagos,6.553516883,3.378711137,17.122,151658.4182
Surulere,10.04605972,568,30.717,Lagos,6.507097202,3.335343463,23.004,118282.3147
Akwanga,0.136935464,313,848.06,Nasarawa,8.993858101,8.327013762,117.66,100919.687
Awe,-0.020159027,353,2627.772,Nasarawa,8.249846841,9.218539268,261.033,181481.1166
Doma,-0.007335718,350,2605.347,Nasarawa,8.163337811,8.281219083,265.182,1051199.328
Karu,0.26924641,299,2657.359,Nasarawa,9.027654054,7.765845874,284.963,715324.7288
Keana,-0.018902763,366,1055.373,Nasarawa,8.167463773,8.768291906,152.422,114682.9795
Keffi,0.362878366,332,158.196,Nasarawa,8.829535044,7.823715697,49.072,191251.8254
Kokona,0.023388608,312,1794.341,Nasarawa,8.832132498,8.04998983,196.998,232705.6638
Lafia,0.022016583,324,2784.072,Nasarawa,8.640066862,8.699591118,365.24,238548.817
Nasarawa,0.010457774,337,5806.401,Nasarawa,8.328995153,7.776540905,349.767,331586.5174
Nasarawa Egon,0.028884437,333,1186.461,Nasarawa,8.740715942,8.420908872,157.254,59682.0206
Obi,-0.013209721,354,992.172,Nasarawa,8.347375883,8.727688167,154.195,89982.8918
Toto,-0.007212118,346,2737.782,Nasarawa,8.238495568,7.202320688,257.718,131405.2564
Wamba,0.033690054,309,1183.679,Nasarawa,8.976767931,8.676112515,142.807,229804.4865
Agaie,0.006754227,305,1868.953,Niger,8.930562791,6.408175494,199.223,101623.4442
Agwara,0.000367,217,1801.119,Niger,10.774757,4.539767062,177.907,94013.5595
Bida,0.51445518,319,51.239,Niger,9.082687486,5.984727584,28.012,192094.2912
Borgu,0.011133579,757,10355.939,Niger,10.37846117,4.162557712,582.572,346423.7272
Bosso,0.145111351,273,1589.8,Niger,9.598195856,6.387043573,211.481,243502.3645
Chanchaga,2.189523394,282,73.751,Niger,9.60547139,6.514193835,33.141,373749.9565
Edati,0.00883628,762,783.513,Niger,9.027495576,5.618233981,149.074,46732.155
Gbako,0.007900269,289,1804.877,Niger,9.284563244,5.986139632,212.515,149714.3601
Gurara,0.083018859,292,1141.298,Niger,9.322033966,7.023184074,235.499,90065.9321
Katcha,0.01005347,293,1732.748,Niger,9.11672823,6.242193635,299.235,156301.111
Kontagora,0.031419532,229,2021.578,Niger,10.42471955,5.475140341,206.77,235330.715
Lapai,-0.000349,298,3042.211,Niger,8.726986257,6.635199529,365.636,200332.5991
Lavun,0.012417123,771,3951.431,Niger,9.273478227,5.683299513,424.153,192370.8039
Magama,0.003304858,226,3764.949,Niger,10.37080155,4.980060431,360.828,296466.9599
Mariga,-0.014037968,212,5772.875,Niger,10.67064522,5.819122728,369.762,373467.9393
Mashegu,-0.000193,251,9114.887,Niger,9.862640245,5.233473972,492.217,665585.148
Mokwa,0.060392706,287,3986.091,Niger,9.24373037,5.146363936,582.23,249665.4491
Munya,0.007601879,261,2265.14,Niger,9.809817142,7.017319158,230.732,87478.3836
Paikoro,0.019931108,275,2215.32,Niger,9.468097657,6.855652785,311.559,209495.0342
Rafi,0.028429771,238,3508.958,Niger,10.16516014,6.248211618,309.948,274147.6576
Rijau,-0.005065182,201,3040.086,Niger,11.07075525,5.158645227,256.499,216913.794
Shiroro,0.024960018,234,5275.07,Niger,10.11113888,6.672110695,459.323,279214.1438
Suleja,0.449307069,304,121.968,Niger,9.188225949,7.15108401,48.953,378903.3349
Tafa,1.340079762,301,139.068,Niger,9.242719283,7.230877004,68.698,64666.1473
Wushishi,-0.006973947,268,1886.07,Niger,9.676223969,5.933257986,238.34,107715.4618
Abeokuta North,0.092533046,468,801.427,Ogun,7.234612834,3.17023009,126.393,480407.4367
Abeokuta South,1.197962579,490,70.09,Ogun,7.169759161,3.354022564,35.34,421468.1478
Ado Odo-Ota,1.160349655,536,904.124,Ogun,6.637450681,3.06818012,134.892,2181858.398
Egbado-Yewa North,0.069444562,464,1968.764,Ogun,7.153682835,2.904207694,199.323,359098.1154
Egbado-Yewa South,0.108496155,514,659.87,Ogun,6.808212777,2.935519903,117.681,408282.2461
Ewekoro,0.432009247,501,615.158,Ogun,6.958220267,3.188789348,123.449,162392.4242
Ifo,1.318323499,524,487.083,Ogun,6.783523294,3.237972962,127.078,1702206.422
Ijebu East,0.064341584,503,2205.946,Ogun,6.824047645,4.257214928,237.895,251168.8993
Ijebu North,0.065590507,498,847.191,Ogun,7.003856463,3.978088179,133.278,324306.3666
Ijebu North-East,0.135594163,518,127.432,Ogun,6.889011062,4.011844321,51.606,71026.7435
Ijebu Ode,0.515042284,523,177.963,Ogun,6.766052585,3.956339703,91.879,276590.8744
Ikenne,0.649664022,510,141.906,Ogun,6.910163541,3.673800897,54.127,161192.2676
Imeko Afon,0.016287318,748,1583.159,Ogun,7.669554248,2.866053604,222.706,124616.7659
Ipokia,0.104004888,528,474.581,Ogun,6.623769963,2.800247147,129.311,213243.5909
Obafemi Owode,0.35875434,495,1414.9,Ogun,7.003683072,3.47390487,188.022,923165.1933
Odeda,0.04940379,458,1398.575,Ogun,7.295861108,3.513851462,183.993,306342.9261
Odogbolu,0.229488988,519,544.263,Ogun,6.785978,3.805332471,103.056,257516.9667
Ogun Waterside,0.015324175,557,957.702,Ogun,6.486424741,4.402563643,175.154,60566.6031
Remo North,0.181553677,505,164.237,Ogun,6.995823712,3.715964546,57.241,71985.9284
Shagamu,1.433287957,516,616.709,Ogun,6.788476911,3.564746646,114.994,749083.3312
Akoko North-East,0.027869753,433,430.565,Ondo,7.553300708,5.837089187,119.263,158926.0442
Akoko North-West,0.031721682,419,551.235,Ondo,7.649377421,5.778817026,102.289,131582.9604
Akoko South-East,0.044506,453,232.592,Ondo,7.435938211,5.886985587,78.973,42489.843
Akoko South-West,0.045389352,457,507.272,Ondo,7.403156836,5.673885316,94.773,157666.4123
Akure North,0.182331832,467,680.62,Ondo,7.273785094,5.303042354,124.425,295888.966
Akure South,0.317454085,479,329.779,Ondo,7.212006028,5.190207579,92.185,628879.3949
Ese Odo,0.032502759,576,720.855,Ondo,6.212754714,4.971192555,138.733,82564.181
Idanre,0.022496528,488,1898.913,Ondo,6.978596476,5.199628844,215.29,195789.497
Ifedore,0.066762695,466,246.27,Ondo,7.36536094,5.090168209,73.011,487590.6749
Ilaje,0.044456519,553,1452.769,Ondo,6.226364988,4.77286,279.386,181092.4281
Ile Oluji-Okeigbo,0.010245442,471,321.704,Ondo,7.281665122,4.957874663,73.122,318441.3199
Irele,0.010176968,540,815.163,Ondo,6.524171307,4.984272054,139.109,129109.431
Odigbo,0.051949131,515,1886.304,Ondo,6.754962565,4.721825663,226.334,313697.4267
Okitipupa,0.019409043,539,774.702,Ondo,6.552591777,4.714932597,117.234,220973.6764
Ondo East,0.023544573,492,339.507,Ondo,7.077210929,4.950948846,98.927,30143.2331
Ondo West,0.045986765,496,847.8,Ondo,7.000040149,4.725554938,125.156,247654.2394
Ose,0.024957585,470,1543.645,Ondo,7.059882321,5.722824538,236.035,149099.1579
Owo,0.079271134,483,989.44,Ondo,7.152745477,5.547318353,156.926,322048.5146
Ayedade,0.045567029,442,1050.332,Osun,7.295480736,4.309933481,243.493,168276.297
Ayedire,0.043959673,437,281.556,Osun,7.543858021,4.240144314,83.498,81930.2361
Atakunmosa East,0.060148658,449,576.43,Osun,7.302564146,4.803723021,130.448,62425.1518
Atakunmosa West,0.066191409,426,578.505,Osun,7.492060476,4.675205419,154.998,80596.676
Boluwaduro,0.066863367,390,149.761,Osun,7.918911784,4.81303383,59.331,55667.3489
Boripe,0.217851515,397,138.454,Osun,7.839419999,4.683982743,68.804,217356.1805
Ede North,0.67360109,422,85.727,Osun,7.709289901,4.507068493,42.449,123142.6297
